Year,Units,Series,Zeitreihe,Bereich,Rohstoffkategorie,Kategorie der letzten Verwendung,Value
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,664.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,632.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,628.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,624.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,594.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,620.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,638.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,632.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,617.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,614.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,604.0
2030,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Investitionen in Bauten,
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-214.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-176.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-197.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-184.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-180.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-194.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-216.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-182.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-157.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-156.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-187.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,-196.0
2030,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,Vorratsveränderungen und Nettozuwachs an Wertsachen,
